date,zipcode,time_block,traffic_volume,avg_travel_time
2012-02-02,10474,21,57.5,295.0
2012-02-02,11420,3,81.5,377.0
2012-02-02,11420,4,132.66666666666666,377.0
2012-02-02,11420,5,270.1666666666667,377.0
2012-02-02,11420,17,905.9166666666666,377.0
2012-02-02,11420,22,403.0833333333333,377.0
2012-02-02,11434,12,459.25,619.0
2012-02-02,11434,21,338.5,619.0
2012-02-02,11435,1,81.25,10.0
2012-02-02,11435,11,441.875,10.0
2012-02-02,11435,20,325.625,10.0
2012-02-02,11691,1,36.0,527.0
2012-02-02,11691,14,409.25,527.0
2012-02-02,11691,16,520.5,527.0
2012-02-02,11691,23,147.5,527.0
2012-02-03,10026,4,8.0,438.0
2012-02-03,10026,10,100.0,438.0
2012-02-03,10454,4,103.3,437.5
2012-02-03,10454,10,299.05,437.5
2012-02-03,10454,14,275.15,437.5
2012-02-03,10454,20,145.8,437.5
2012-02-03,10455,21,61.0,93.0
2012-02-03,10456,2,58.57142857142857,303.0
2012-02-03,10456,5,87.28571428571429,303.0
2012-02-03,10456,8,409.57142857142856,303.0
2012-02-03,10456,10,0.0,303.0
2012-02-03,10456,22,0.0,303.0
2012-02-03,10456,23,0.0,303.0
2012-02-03,10462,0,170.5,567.0
2012-02-03,10462,4,150.0,567.0
2012-02-03,10462,11,398.8333333333333,567.0
2012-02-03,11205,0,125.25,519.5
2012-02-03,11205,9,515.0,519.5
2012-02-03,11205,17,739.5,519.5
2012-02-03,11368,2,47.8,424.0
2012-02-03,11368,5,81.0,424.0
2012-02-03,11368,13,268.8,424.0
2012-02-03,11368,18,343.8,424.0
2012-02-03,11435,8,568.25,308.5
2012-02-03,11435,12,457.125,308.5
2012-02-03,11435,13,485.625,308.5
2012-02-03,11435,23,0.0,308.5
2012-02-04,10459,6,64.5,189.0
2012-02-04,10459,10,199.0,189.0
2012-02-04,10459,13,0.0,189.0
2012-02-04,10459,15,0.0,189.0
2012-02-04,10459,21,0.0,189.0
2012-02-04,10460,12,223.0,469.0
2012-02-04,10472,11,81.2,490.0
2012-02-04,10472,23,58.6,490.0
2012-02-04,10473,2,74.5,271.0
2012-02-04,10473,6,84.25,271.0
2012-02-04,10473,14,348.75,271.0
2012-02-04,10473,16,340.75,271.0
2012-02-04,10473,18,329.0,271.0
2012-02-04,11101,1,22.0,567.0
2012-02-04,11101,8,107.5,567.0
2012-02-04,11201,3,86.5,198.0
2012-02-04,11201,6,125.0,198.0
2012-02-04,11201,10,0.0,198.0
2012-02-05,10454,0,161.25,321.0
2012-02-05,10454,4,107.0,321.0
2012-02-05,10454,10,203.0,321.0
2012-02-05,10455,10,40.0,402.0
2012-02-05,10465,6,0.0,656.0
2012-02-05,11385,3,91.75,375.0
2012-02-06,10458,4,20.0,204.0
2012-02-06,10458,7,13.0,204.0
2012-02-06,10458,10,43.0,204.0
